source,keyword,title,url,published,fetched_at
tanea,Marfin,"Πρόσωπα & Ιστορίες 9 Μιχάλης Χρυσοχοΐδης στα «ΝΕΑ»: Η υπόθεση της Marfin είναι «δεμένη» Ο υπουργός Προστασίας του Πολίτη ξεκαθαρίζει ότι η έρευνα για να αποδοθεί δικαιοσύνη δεν χρειάζεται κανένα μέιλ, τονίζει πως οι δολοφονίες δεν έχουν χρώματα, υποσημειώσεις και αστερίσκους Ελένη Ευαγγελοδήμου Πρώτη Δημοσιεύση: 18/07/2026 12:15",https://www.tanea.gr/print/2026/07/18/people/i-ypothesi-tis-marfin-einai-demeni/,,2026-07-23T13:14:05Z
tanea,Marfin,"Ελλάδα Marfin: Συνεχίζονται οι έρευνες για τον αποστολέα του ανώνυμου email – Στο «μικροσκόπιο» τα βίντεο ντοκουμέντα Νέα στοιχεία σχετικά με τη φονική επίθεση στη Marfin τον Μάιο του 2010, που κόστισε τη ζωή σε τρεις εργαζομένους, φέρνει στο φως η αστυνομική έρευνα. Οι αρχές επικεντρώνονται πλέον στον εντοπισμό του αποστολέα του ανώνυμου e-mail, το οποίο αποτέλεσε την αφετηρία για την επανενεργοποίηση της υπόθεσης. Παράλληλα, αποκαλύπτονται οι μέθοδοι που οδήγησαν στην ταυτοποίηση […] 17/07/2026 09:20",https://www.tanea.gr/2026/07/17/greece/marfin-synexizontai-oi-ereynes-gia-ton-apostolea-tou-anonymou-email-sto-mikroskopio-ta-vinteo-ntokoumenta/,,2026-07-23T13:14:05Z
tanea,Marfin,Ελλάδα 4 Marfin: «Τα ντοκουμέντα αυτά έχουν δοθεί από το ίδιο απόγευμα» – Γιατί χρειάστηκε 16 χρόνια η ανάλυση 200 φωτογραφιών Τι λέει ο δημοσιογράφος Ηλίας Προβόπουλος που τράβηξε με την φωτογραφική του μηχανή και παρέδωσε από την πρώτη στιγμή το οπτικό υλικό στις Αρχές 16/07/2026 21:15,https://www.tanea.gr/2026/07/16/greece/marfin-ta-ntokoumenta-ayta-exoun-dothei-apo-to-idio-apogeyma-giati-xreiastike-16-xronia-i-analysi-200-fotografion/,,2026-07-23T13:14:05Z
tanea,Marfin,Ελλάδα Marfin: Αποκαλυπτικό βίντεο ντοκουμέντο από τη στιγμή της δολοφονικής επίθεσης Στο βίντεο καταγράφονται οι δραματικές στιγμές που εκτυλίχθηκαν στο υποκατάστημα της Marfin στην οδό Σταδίου 16/07/2026 20:35,https://www.tanea.gr/2026/07/16/greece/marfin-vinteo-ntokoumento-apo-ti-stigmis-tis-dolofonikis-empristikis-epithesis/,,2026-07-23T13:14:05Z
tanea,Marfin,Ελλάδα Marfin: Οι φωτογραφίες που «ταυτοποίησαν» τους κατηγορούμενους Τα ΝΕΑ αποκαλύπτουν το ακριβές τελικό «σαφές» συμπέρασμα του πολυσέλιδου εγγράφου της ΕΛ.ΑΣ. που οδήγησε στις συλλήψεις και τις προφυλακίσεις Βασίλης Λαμπρόπουλος Πρώτη Δημοσιεύση: 16/07/2026 15:21,https://www.tanea.gr/print/2026/07/16/greece/oi-fotografies-pou-taytopoiisan-tous-katigoroumenous/,,2026-07-23T13:14:05Z
tanea,Marfin,Ελλάδα Marfin: Θα αναζητήσουν τον αποστολέα του email Για να εξεταστεί  ως μάρτυρας στον νέο κύκλο της δικαστικής έρευνας Μίνα Μουστάκα Πρώτη Δημοσιεύση: 16/07/2026 15:17,https://www.tanea.gr/print/2026/07/16/greece/tha-anazitisouncrton-apostolea-tou-email/,,2026-07-23T13:14:05Z
tanea,Marfin,"Ελλάδα Marfin: Η έκθεση 117 σελίδων της ΔΕΕ που οδήγησε στην ταυτοποίηση των τριών υπόπτων Η Διεύθυνση Εγκληματολογικών Ερευνών, με τεχνική έκθεση 117 σελίδων, ταυτοποίησε τρία άτομα ως υπεύθυνα για τον εμπρησμό της Marfin TANEA Newsroom 16/07/2026 10:52",https://www.tanea.gr/2026/07/16/greece/marfin-i-ekthesi-117-selidon-tis-dee-pou-odigise-stin-taytopoiisi-ton-trion-ypopton/,,2026-07-23T13:14:05Z
tanea,Marfin,Ελλάδα 3 Υπόθεση Marfin: Τον αποστολέα του ανώνυμου μηνύματος αναζητά η δικαιοσύνη Στην ανακρίτρια δήλωσαν παράσταση υποστήριξης κατηγορίας οι συγγενείς της Αγγελικής Παπαθανασοπούλου Μίνα Μουστάκα 15/07/2026 16:00,https://www.tanea.gr/2026/07/15/greece/ypothesi-marfin-ton-apostolea-tou-anonymou-minymatos-anazita-i-dikaiosyni/,,2026-07-23T13:14:05Z
tanea,Marfin,"Ελλάδα Marfin: Τα στοιχεία της δικογραφίας και τα αναπάντητα ερωτήματα Οι πρόσφατες συλλήψεις για τον εμπρησμό της Μarfin και η ποινική διαδικασία που βρίσκεται πλέον σε εξέλιξη έφεραν ξανά στο προσκήνιο τη μακρόχρονη έρευνα της Αντιτρομοκρατικής, αλλά και τη συζήτηση γύρω από τα στοιχεία της δικογραφίας και τον τρόπο με τον οποίο αξιολογήθηκαν έπειτα από χρόνια. Στο επίκεντρο του ενδιαφέροντος εξακολουθεί να παραμένει το ανώνυμο […] ΝΑΤΑΛΙΑ ΔΙΟΝΥΣΙΩΤΗ Πρώτη Δημοσιεύση: 15/07/2026 14:35",https://www.tanea.gr/print/2026/07/15/greece/ta-stoixeia-tis-dikografias-lfkai-ta-anapantita-erotimata/,,2026-07-23T13:14:05Z
tanea,Marfin,"Ελλάδα Στις φυλακές Ναυπλίου και Μαλανδρίνου οι προφυλακιστέοι για την υπόθεση της Marfin Στις φυλακές Ναυπλίου και Μαλανδρίνου μεταφέρθηκαν οι δύο 42χρονοι, προσωρινά κρατούμενοι για την τραγωδία της Marfin πριν 16 χρόνια TANEA Newsroom 15/07/2026 13:16",https://www.tanea.gr/2026/07/15/greece/stis-fylakes-naypliou-kai-malandrinou-oi-profylakisteoi-gia-tin-ypothesi-tis-marfin/,,2026-07-23T13:14:05Z
